!!!;seen live;electronic;indie
Nickodemus;downtempo;chillout;lounge
Lil Skate;unknown;unknown;unknown
Raz;psytrance;psychedelic;full on
Spindrift;psychedelic;psytrance;Psychedelic Rock
The Natural Yogurt Band;jazz;funk;nu jazz
Spiritualized;space rock;shoegaze;psychedelic
Mike Hawkins;trance;progressive trance;melodic trance
YROR?;unknown;unknown;unknown
KUSO GVKI;electronic;hip hop;unknown
Champagne Champagne;seen live;hip hop;Hip-Hop
Federico Milani;minimal;techno;minimal techno
Dirty Revolution;ska;reggae;ska punk
Graffiti6;indie pop;pop;seen live
Käptn Peng;Hip-Hop;rap;german
Gidge;ambient;electronic;minimal techno
Royal Thunder;Stoner Rock;doom metal;hard rock
Doseone;Hip-Hop;anticon;experimental
Flower Travellin' Band;Psychedelic Rock;Progressive rock;psychedelic
Nu Elementz;jump up;Drum and bass;clownstep
Нейромонах Феофан;Drum and bass;folk;neurofunk
Jorja Smith;rnb;soul;seen live
Bombay Bicycle Club;indie;british;indie rock
Tangerine Dream;electronic;ambient;krautrock
Joomanji;Hip-Hop;jazz;soul
Stevie Wonder;soul;funk;motown
Confidns;unknown;unknown;unknown
Art District;Hip-Hop;under 2000 listeners;Jazz Hop
Gold Panda;electronic;chillwave;psychedelic
Diex;Acid;acid techno;acidcore
The White Panda;mashup;electronic;chillout
Furyan;hardcore;Gabber;hardcore techno
The Gun Club;post-punk;psychobilly;punk
Crazy P;House;electronic;electronica
Omiki;psytrance;electronic;goa
Of Water;post-rock;instrumental;shoegaze
Pantha du Prince;minimal;electronic;minimal techno
Zuboly;hungarian;folk;ethno
First Degree Burns;Hip-Hop;ska;zen
Paul St. Hilaire;dub;reggae;electronic
J;J-rock;japanese;rock
Javelin;electronic;seen live;electro
Jahdan Blakkamoore;dubstep;reggae;dancehall
Bionic Man Sound;seen live;unknown;unknown
Solomun;deep house;minimal;tech house
Frédéric Chopin;Classical;piano;romantic
Aly ;trance;indie;pop
Nótár Mary;female vocalists;gipsy;hungarian
