"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","Sight N Soundz","Ego Trippin","Hard Bop / Sight N Soundz","4:52","GB8KE1650582","https://open.spotify.com/track/7vDEspwapWEJ7vrnG7YTXR"
"2","Filthy Criminals - VIP","Ego Trippin","Filthy VIP's Part One","4:25","GB8KE1755436","https://open.spotify.com/track/0SPMRfP0CoYqJzfgKJxqpR"
"3","Two Types - VIP","Ego Trippin","Filthy VIP's Part One","4:47","GB8KE1755435","https://open.spotify.com/track/3z4nWesGMfRfFjbwQTt94E"
"4","Blow Them Away","Serum","Hospital: We Are 21","5:11","GBCJY1600360","https://open.spotify.com/track/3QbTsU2QX5GN682TZ9g59s"
"5","Chicken Neck","Macky Gee","Sway","3:49","GB8KE1554349","https://open.spotify.com/track/3mwEwifBy0IAvLjUIKgrKH"
"6","Keepmastik","Phlegmatic Dogs","Keepmastik","4:45","USYBL1700077","https://open.spotify.com/track/3SnAT57zc3j1RpJyNTrN7j"
"7","That's Kinda Wavy","Kyle Watson","Road Trips Ep","5:23","FR10S1772566","https://open.spotify.com/track/0jCAcM8Qvr8LeY0zyk5VJ4"
"8","Psycho","AC Slater","My Peoples","4:35","USYBL1600936","https://open.spotify.com/track/6jr9VnyNjpxXDJ2vTfLUjH"
"9","All About Paper","AC Slater","Outsiders","3:37","USYBL1701289","https://open.spotify.com/track/0kZcHYeRz2flAMkUTmUrjq"
"10","What’s On My Mind","Shiba San","What’s On My Mind","4:51","GBK6Y1715604","https://open.spotify.com/track/6ajZconV9m0ihK32KfHO9k"
"11","Fade","Malaa","Fade","4:45","USLD90813980","https://open.spotify.com/track/7vMOKDebaEptMNCNHWFhp9"
"12","Scrub The Ground","Chocolate Puma","Scrub The Ground","2:49","NLZ541500695","https://open.spotify.com/track/1AJAQmdCa9D1JhN6vVbaLJ"
"13","The Cannibal","Maximono","Mixmag Presents Amine Edge & Dance","3:57","FR9W11501743","https://open.spotify.com/track/37jhSnB5EvjanJq5lrPs4v"
"14","Spooky Dub","Ivy Lab","Fortuna EP","4:01","UKCTU1600405","https://open.spotify.com/track/40kIt1Rteub1WjV3zOFNAI"
"15","Sunday Crunk - Mefjus Remix","Ivy Lab","MEF:LAB","3:48","GBVPL1500016","https://open.spotify.com/track/05uPmzs0ppVw5G3YHpMv2g"
"16","I'm Living - Ed Solo & Stickybuds Remix","Sizzla","I'm Living the Versions & Remixes","5:36","USBEB1410021","https://open.spotify.com/track/1695kFGgPZHJWKLFgOjzBo"
"17","Nightmares Vip","Culprate","Dawn","3:08","GBKPL1777769","https://open.spotify.com/track/1HOZHrvPp3CwvmOz2L5hng"
"18","Aphanite","Maztek","Three Point Zero","4:52","GBQXF1430024","https://open.spotify.com/track/4Swq50keY0c4ivsBuISQeR"
