"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","Voodoo","Lexicon","Youth Is Yours","3:60","US25X0703602","https://open.spotify.com/track/0r6kBIBWSjLz7KLvsPy2KJ"
"2","Little Man - Original","Tinush","Wasser, Brot Und Improvisieren","6:17","DEAR41223854","https://open.spotify.com/track/2zm3gTpxXxOLfjwQiBhET8"
"3","The Well","Scarecrow Blues Hip Hop","The Well","3:11","FR9W11400601","https://open.spotify.com/track/310FP1pQwXhGmWa95Hkh2F"
"4","Turn the Sound up!","Dr. Syntax","Elaborate Anoraks","2:59","GB2X71100045","https://open.spotify.com/track/1VEubGWOzIACmpp1GBABMx"
"5","Burn Babylon Coke","Blasta , Solo Banton","Burn Babylon Coke","4:42","DEKB70913156","https://open.spotify.com/track/4SVgh9NKcjmAx4zaNhsPAw"
"6","Faidherbe Square feat. Mister Colfer and DJ Crabees","Proleter","Curses From Past Times EP","3:52","FRP621313460","https://open.spotify.com/track/0TS2wQoEmSfx658p8SyjGc"
"7","Arrows","Icicle","Under the Ice","4:07","GBPWR1100126","https://open.spotify.com/track/1CD8xFfBGYkuhszBQ75txx"
"8","Mach dein Ding","Stoney Moe","Babylon Evangelium","3:28","DEKE51202484","https://open.spotify.com/track/3JHyTcdJiSa22OAqrM2Hcq"
"9","Upgrade","Klopfgeister","Smiles & More","7:46","DEKC41200253","https://open.spotify.com/track/75OwZ8sGEmUtd7H0zQ1SLk"
"10","Insane In The Brain ft. Horseman","Prince Fatty","Supersize","3:22","USA561045439","https://open.spotify.com/track/4UxgqHKipUw2NgNcdPrs3l"
"11","Badman City","Kahn","Kahn - EP","4:14","GB6NV1300006","https://open.spotify.com/track/4G4LRhCTBN6nERsR7EWyKQ"
"12","Fitta Happier","Guilty Simpson","Quakers","2:45","US2S71284003","https://open.spotify.com/track/23D7hGT17zIxle0jcrNUZI"
"13","Rich","Cosmo Sheldrake","Pelicans We","4:29","GBKZV1425078","https://open.spotify.com/track/4jKSl2zp59HzK76UcuFtJs"
"14","Libre","MC Madjah","Entre 2 mondes","3:34","FR6V81413744","https://open.spotify.com/track/22gtumxcNHlUoZa9NherPD"
"15","In Love With Mary Jane","Illuminati Congo","Green Is All I Need","4:08","ushm91333515","https://open.spotify.com/track/0jlpzq0X2T1Ar6QfkdsOf8"
"16","MDMA","Joshi Mizu","MDMA","3:49","DEQ121425947","https://open.spotify.com/track/32cjkXNY6Kp0lIBANYxKWl"
"17","Sonderling - Radio Edit","Zonderling","Sonderling","3:47","NLSQ61200010","https://open.spotify.com/track/2gwjA5FHcW0ALe7SfrGtCH"
"18","Ziehn Digger","Herr von Grau","Freiflug","4:47","DERQ81300005","https://open.spotify.com/track/3T0jviXYdutG4Wxs6AXrIl"
"19","Rude Boy","Dub Inc.","Rarities","5:16","EGA130003890","https://open.spotify.com/track/7lQrueoFy1UAbXm32U3Cf7"
"20","Quebec","Grant Lazlo","Alibi Afternoon","4:25","DEDW91500617","https://open.spotify.com/track/12N2ZY3TnPdLtZppaAatmg"
"21","4/15/1998","Rob Viktum","Progress 2","2:25","USTCE1028152","https://open.spotify.com/track/5mkubPuSY6SxWXRHPTyEzL"
"22","Minor Swag","N'to","Monkey Man","6:45","DEAA21400097","https://open.spotify.com/track/3tZdaGDtHy6y9bRcvaPNv1"
"23","Brains Escape (feat. Simon)","Ganja White Night","Mystic Herbalist","6:26","TCABL1338580","https://open.spotify.com/track/7dUmKHgFRCgau0S5fAONnT"
"24","Empire","Banx & Ranx","Empire (Original Mix)","3:34","CA5KR1053225","https://open.spotify.com/track/6KCsxMcF7j4bObmoiPM3t0"
"25","Ackan","Sido","VI (Deluxe)","4:18","DEUM71501573","https://open.spotify.com/track/3OqbJh3CuzC1WQkfswb7xb"
"26","The Blues (It Began in Africa)","Romare","Meditations On Afrocentrism EP","3:55","GBTQV0800151","https://open.spotify.com/track/0gOxMzheaAPk6cLWBIk5fc"
"27","Taboo","Gater","Taboo (feat. Chesty Morganstein)","4:19","DEBL60408851","https://open.spotify.com/track/5CVOeNkatHhW7Uc7M7zffK"
"28","Money ah dem god (feat. Lady Chann)","Dreadsquad","The Riddim Machine","3:10","PLD641200045","https://open.spotify.com/track/5zwO1RcuqxPGGXJH4hwz32"
"29","Pure Gold","Calyx","All Or Nothing","5:32","GBBZH1291502","https://open.spotify.com/track/0SXIJTI8CmGfpPOpIMrWpV"
"30","The Words","Flox","The Words (Bonus Version)","4:42","FR6V80834987","https://open.spotify.com/track/0NcnyoQ7MboDoRlIiPGqwU"
"31","Kuroi Ame - Black Rain","DJ Krush","Kuroi Ame - Black Rain","4:40","JPZ921201651","https://open.spotify.com/track/0VRPdry6t4dZyHrjB0h8Vg"
"32","Jiffen","Milonair","AMG","2:49","DEQ121423208","https://open.spotify.com/track/2SdibylNSBOJCWyA3NX22A"
"33","Benzi Box","Danger Doom","The Mouse And The Mask","3:00","USEP40513105","https://open.spotify.com/track/1sQJBWNnEilrbw0eZzR1jK"
"34","Negative ROI","Boeboe","Buy Sell Bye Cell","4:08","NLT461300384","https://open.spotify.com/track/1vjzmLV5FuAKe6Nq3pD9Tx"
"35","Changes","Mala","Forgive / Changes","6:51","GBZSU0900007","https://open.spotify.com/track/4QeJJXqKtMDFYMWhcvwdMU"
