"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","Natural Striptease","Britta Arnold","Natural Striptease EP","7:07","DESH41500189","https://open.spotify.com/track/2xkLMaYUiBKu3urNhvkCMb"
"2","New New World","Gabriel Vitel","New New World","6:04","DEZ651709077","https://open.spotify.com/track/6PGIEyB9GPlU8QKTNY4ENK"
"3","Moon Rocks","Enrico Sangiuliano","Moon Rocks","7:33","GBUR61600097","https://open.spotify.com/track/4cTW1QdgCJiqE1Pvreb80L"
"4","Astral Projection","Enrico Sangiuliano","Astral Projection","8:04","GBUR61700084","https://open.spotify.com/track/32nw9Qc5rYjsPWGLy14Yh5"
"5","Rave","Sam Paganini","Satellite","6:46","GBUR61200238","https://open.spotify.com/track/5YDbSfN5oKWBoeyf9nBA38"
"6","Lost Memory","Boris Brejcha","Lost Memory","7:43","DEAZ30805308","https://open.spotify.com/track/76lT30VRv09h5MQp5snmsb"
"7","Dark Planet","Boris Brejcha","Feuerfalter Special Edition","8:33","DEAZ31305734","https://open.spotify.com/track/6ZyEZpsnv8mwiMEeNRK2oq"
"8","In Silence","Amelie Lens","A-Sides, Vol. 6","6:34","GBUR61700104","https://open.spotify.com/track/2vfSCFvMbpf4hwxt22Wx7b"
"9","Drift","Amelie Lens","Contradiction - EP","6:38","DESR41700115","https://open.spotify.com/track/4t1DXTyp454P6uY7FL29rg"
"10","Taking Place in You - 2012 Remix","Eternal Basement","Non Stop Techno Collection, Vol. 3","8:54","DEAZ31205654","https://open.spotify.com/track/3mvBIuS97pZiWlwhXuAhmW"
"11","Phoenix - Unique Repeat Remix","Solee","Phoenix (Remixes)","8:27","DEH741413454","https://open.spotify.com/track/0qZpqoCudAZALDllBsHjFb"
"12","Desert (Cosmic Cowboys Mirage Mix)","Ron Flatter","Desert EP","6:60","DEBW21400270","https://open.spotify.com/track/29IGUSNgXHk9s6rph3ZA6G"
"13","Fuego - Julian Jeweil Remix","Dubfire","Retrospectivo 2008 - 2016","6:32","DEL021602014","https://open.spotify.com/track/4wZ7ZLN0dtrNHs7S4yF5Lv"
"14","Trinity - Original Mix","Kaiserdisco","Trinity EP","7:20","DEKB71459346","https://open.spotify.com/track/0TRgV3jF4GHlYLNWHNjeJI"
"15","Roadkill","Dubfire","HYBRID: A Decade Of Dubfire","8:16","USYLM0700101","https://open.spotify.com/track/0WBzIg2SgxVWjpQpjr47Ba"
"16","Ding Dong - Original Mix","Dirty Doering","Ding Dong EP","5:09","DESH41400041","https://open.spotify.com/track/0UcdEtPLHcjpSTSZRoOLqY"
"17","Poltergeist","Oliver Huntemann","Propaganda","7:55","DEL021702013","https://open.spotify.com/track/1yfqKP7UcohE0dKMC4nDqW"
"18","Tournicoti - Original Mix","Julian Jeweil","Babou","6:34","CAM261080003","https://open.spotify.com/track/6NX85YqoE44oOH60i02pRo"
"19","Roadtrip","Ann Clue","Acid Attack","8:13","DEKB71556074","https://open.spotify.com/track/2uIxdrO5xr6Fqn6l8V4I3i"
"20","Serpens","Victor Ruiz","Draco / Serpens","6:55","DENC31200365","https://open.spotify.com/track/11oyd5PL3ovjB5gsEvULQX"
"21","Marin","Oliver Schories","Relatively Definitely","7:12","DEH741603263","https://open.spotify.com/track/6MGFTRRyzrZnrYlEZGzCm7"
"22","White Rainbow","Boris Brejcha","22","8:13","DEKB71534062","https://open.spotify.com/track/3hoIklhTiibFmP2FKzsvKa"
"23","Chain Reaction","Rodriguez Jr.","Chain Reaction","7:19","DECL11200814","https://open.spotify.com/track/0TEP8U5qKXnsYMuwguYFwc"
"24","Quetschkommode - Mollono.Bass Remix","Dole & Kom","Darze","7:42","DECH61200231","https://open.spotify.com/track/1ptpoTFbED9EWxWW6CX4aX"
"25","Orbit - Original Mix","Julian Jeweil","A Sides, Pt. 1","6:27","GBKQU1666491","https://open.spotify.com/track/4bWRp3RxDSq2qAIUEb3j7Q"
"26","Acid Attack","Ann Clue","Acid Attack","7:43","DEKB71556073","https://open.spotify.com/track/5I3eqLcSC2MZdz4gqVzWtJ"
"27","Sehnsucht","Charlotte de Witte","Sehnsucht","7:35","CAT391600021","https://open.spotify.com/track/24E2vECroNgp1CrFoIB2gx"
"28","I AM THE JOKER - Original Mix","Boris Brejcha","I AM THE JOKER","8:17","DEKB71451939","https://open.spotify.com/track/1ZenE7YrMaPqaLos2ytWW1"
"29","Forced To Move","Amelie Lens","Nel EP","6:35","GBKQU1711872","https://open.spotify.com/track/0fSWx7tvMiwvmFCSBVmkqA"
"30","1825","N'to","1825","8:16","FR10S1418430","https://open.spotify.com/track/2vJEtaYlGO574AtKx5bijK"
"31","Streets Of Gold","Boris Brejcha","22","7:27","DEKB71534063","https://open.spotify.com/track/6KQIcFUxjqEHdpOanxmSCu"
"32","Barac","Oliver Schories","Relatively Definitely","6:16","DEH741603265","https://open.spotify.com/track/15rWfJPr6p2HmYx7lDwZ6z"
"33","R U FCKNG SERIOUS - Remix Ann Clue","Boris Brejcha","R U FCKNG SERIOUS","7:00","DEKB71439676","https://open.spotify.com/track/51EquffnxiVvFoqoNIYpuz"
"34","Control - Victor Ruiz remix","Alex Stein","Control","7:25","ITH641487411","https://open.spotify.com/track/5poYrwjjr6FkKVVYEexMy2"
"35","Generation","Victor Ruiz & Alex Stein","Generation","6:52","DEBH21200018","https://open.spotify.com/track/6D2ZOic7U3z6sQiEIC7KhA"
"36","First Contact","AKA AKA","Connected","6:33","DECY51524402","https://open.spotify.com/track/2bp4V5tZxlpw9VE1HhjHWV"
"37","Going Down","Adam Beyer","Going Down","6:57","GBUR61600131","https://open.spotify.com/track/68xc296PrZn6RHfV69LRh8"
"38","Hypnotize","Sam Paganini","Hypnotize","6:36","DEH741709283","https://open.spotify.com/track/3NPaD6SlCVvjMJE46I7KoS"
"39","Tumbleweed","Victor Ruiz","Soulforce","8:45","DENC31700050","https://open.spotify.com/track/1sKnTmH07e9bZ0Oyj4XAHp"
"40","Hail The Whale - Original","Extrawelt","Blackout","5:01","DEQ201701679","https://open.spotify.com/track/6a3BJS71G341ZyXaaLxgtY"
"41","Easy Riders","Victor Ruiz","Lucky Strike","7:30","DET751300067","https://open.spotify.com/track/3sZ71ldG5gyP9ObUpdp71e"
"42","Arrows","Icicle","Under the Ice","4:07","GBPWR1100126","https://open.spotify.com/track/1CD8xFfBGYkuhszBQ75txx"
"43","Groovy Filth - Original Mix","Maksim Dark","Groovy Filth","7:02","USLZJ1778418","https://open.spotify.com/track/7CwhEjnn3O8kuRl4iqjauj"
"44","Watch What","Andreas Henneberg","Ocai","7:21","FR6V82402515","https://open.spotify.com/track/1fxx2hofgi7qXxlH39z0ol"
"45","Maximum Overdrive","Boris Brejcha","Space Gremlin","9:42","DEKB71576093","https://open.spotify.com/track/3FnVz2gUK3GpG2UMkKA9AO"
"46","Sysma - Original Mix","Dusty Kid","Kéia EP","7:21","ITK771700002","https://open.spotify.com/track/5jUbmkU6rjKGsynCNZEct2"
"47","Cirrus","Spektre","Cirrus","6:33","GBKQU1764582","https://open.spotify.com/track/3bvVFrHcnhNXaRGkcemKBL"
"48","Pandemonium","Worakls","Mellotron","6:25","DEAA21600014","https://open.spotify.com/track/51q75hNecOooZoFdON9GOh"
"49","My Black Sheep - Matrixxman Isolation Mix","Len Faki","My Black Sheep 10Y Anniversary Mixes","6:27","DETB31792904","https://open.spotify.com/track/6I6VaSBFcaLlsBAOYAmebe"
"50","Tarantula - 7 Year Itch Rework","Pleasurekraft","Tarantula (7 Year Itch Rework)","7:49","US7NS1700005","https://open.spotify.com/track/52ee8x7w7ADeAVybHu9lcR"
"51","America","Funkin Matt","Fool’s Gold Clubhouse Vol. 4","4:15","QMSDU1400138","https://open.spotify.com/track/66ggIWzQYyCdlPC1u7hvB9"
"52","Lifted","Dustycloud","Alchemy 2","5:05","USLD91710837","https://open.spotify.com/track/1DeLb4ZQKRL8SAGBU0iP6K"
"53","WATP 2","Addison Groove","Where Are the People","4:38","USQY51774820","https://open.spotify.com/track/6pOrFxNBM3v3TOWOhI7WgQ"
"54","Jet","Ellen Allien","Orchestra of Bubbles","6:34","DEAE60600548","https://open.spotify.com/track/5evTc3kcz11bO0fFblfgfz"
"55","6AM - Original Mix","Juliet Fox","6AM","6:27","GBJAJ1700708","https://open.spotify.com/track/2Fc7p63s5FGJOF9HWMjLKf"
"56","Myli","Julian Jeweil","Destination","6:22","FR2X41676381","https://open.spotify.com/track/6m1IAVMa6pVVeWemjj69Ng"
"57","Black Hole - Ultimate Mix","Marascia","Black Hole","7:04","ITO901700008","https://open.spotify.com/track/6txPC8Mkb2N6IpP5pboeS1"
"58","Milk (Jacky 0 Remix)","Dusty Kid","Milk (Remixes)","7:54","ITK771700007","https://open.spotify.com/track/5WlFUBUmc0Bqo9nKpJmcp1"
"59","Taktik","Oliver Huntemann","Propaganda","6:39","DEL021702012","https://open.spotify.com/track/2MkpDFRGY6KRWtFsaDRbiv"
"60","Schattenmönch","Boris Brejcha","22","6:57","DEKB71534061","https://open.spotify.com/track/6n6OzalpQtkKKXlwB0ndJF"
"61","Desert Times - Boris Brejcha Remix","Florian Meindl feat. Ricardo Phillips","Desert Times EP","7:29","IT00G1100411","https://open.spotify.com/track/2XLE0e1xtm4sFD8xvMq6v4"
"62","Waiting in the Weeds","Andreas Henneberg","Mountain","7:16","DENM91000107","https://open.spotify.com/track/3IbUyKrsCZ2PzCirZ3Pkc9"
"63","Vanilla Sky","Boris Brejcha","DJ Mixes Single Tracks","6:41","DEKB71568378","https://open.spotify.com/track/0xrFRhhk7G04ZBcbubjWqR"
"64","Lucky Strike","Victor Ruiz","Lucky Strike","7:19","DET751300066","https://open.spotify.com/track/7j9BbKDn6skg3iX1Hwjr0W"
"65","Get Down","Alex Stein","Get Down","6:13","GB-SMU-37-15552","https://open.spotify.com/track/23RFoMPaYoKyjOFsitH8vz"
"66","Triggered","Nuno Lisboa","Triggered EP","6:54","CA5KR1535692","https://open.spotify.com/track/3MtIKTmAMJG4B0EiOERxJb"
