"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","Center Of The Universe","Mandragora","Disc 1","6:12","GBKQU1873054","https://open.spotify.com/track/3CvUnlgIZHhlemdivpN4tY"
"2","No ID","Mandragora","Disc 1","3:19","GBKQU1873055","https://open.spotify.com/track/0LUpB6bqImcWEki20oFdBD"
"3","All The Time","Mandragora","Disc 1","3:43","GBKQU1873056","https://open.spotify.com/track/6PvTJ4IR1BRXSgd14k2oHN"
"4","Album Mode","Mandragora","Disc 1","5:08","GBKQU1873057","https://open.spotify.com/track/72GRtq5X4pEbiKUe6jJfHe"
"5","Codeine","Mandragora","Disc 1","5:29","GBKQU1873058","https://open.spotify.com/track/1AQH4K1OX1KHbTt5ojMonp"
"6","Fake Acid","Mandragora","Disc 1","6:23","GBKQU1873059","https://open.spotify.com/track/3BHVLXvqAoIzsnC33u3YJT"
"7","Indio","Mandragora","Disc 1","4:46","GBKQU1873060","https://open.spotify.com/track/0w9BECuRA5sn9YFQNiHLUn"
"8","Eyes","Mandragora","Disc 1","4:01","GBKQU1873061","https://open.spotify.com/track/5uUdYtQewnlfU8I8RQHYX2"
"9","Bola De Good","Mandragora","Disc 1","4:42","GBKQU1873062","https://open.spotify.com/track/6rUWHjl3ybvD45Iuqvgtqw"
"10","Burn It Down","Mandragora","Disc 2","5:13","GBKQU1876821","https://open.spotify.com/track/79SCIhOaRBqHdrBurD2JKb"
"11","Enjoadinha","Mandragora","Disc 2","4:23","GBKQU1876822","https://open.spotify.com/track/06Wn0YiF7ugibcM2a02AfH"
"12","Feel Alive","Mandragora","Disc 2","5:02","GBKQU1876823","https://open.spotify.com/track/3s7vLfeoFGbAhASaTOLIrt"
"13","Get Away","Mandragora","Disc 2","4:00","GBKQU1876824","https://open.spotify.com/track/6gPxjY1Ow6hB0D5Ks4eaZJ"
"14","It Might Have Been","Mandragora","Disc 2","3:56","GBKQU1876825","https://open.spotify.com/track/6kOkhuico8F2222r3WVAT7"
"15","Special Treatment","Mandragora","Disc 2","4:20","GBKQU1876826","https://open.spotify.com/track/0YAngMtTaCX3f62yxJwiq9"
"16","Jim Carrey","Mandragora","Disc 2","6:12","GBKQU1876827","https://open.spotify.com/track/2DNDDeMmdofxsnRn06gyWl"
"17","The Rift - Mandragora Remix","Smoke Sign","Disc 2","5:00","GBKQU1876828","https://open.spotify.com/track/6N0RdkeNMST2sTZRkAwfjk"
"18","Novo Testamento - Mandragora Remix","Pedra Branca","Disc 2","5:16","GBKQU1876829","https://open.spotify.com/track/0gvZHzj2rLxlYGSmrz26nE"
"19","Drama","Mandragora","Disc 3","3:22","GBKQU1879523","https://open.spotify.com/track/0sVGeRw2BwO6rSmODLkm1T"
