"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","The Dark Side of Mars","Manudi","100% Techno Subwoofer Records, Vol. 6 (Releases 250 / 299)","5:43","ITBD61301311","https://open.spotify.com/track/1zQ0Za4HAdH1GDGyaLRI9W"
"2","Chained to a Dead Camel - Original Mix","Clouds","Radical Cutting Methods","5:26","GBZB91300202","https://open.spotify.com/track/0eGikLYSqzZm9irKomYrvU"
"3","Highfalutin","Toil","First Winter","6:58","ITBD61301257","https://open.spotify.com/track/4C0a57UPo6lg6REabiedff"
"4","Depredation - Toby Rost Rework","Primal Beat","Depredation","6:42","GBLV61405973","https://open.spotify.com/track/1FHZYM9UfaST4bcGTEfNAc"
"5","Your Dimension, Not Mine - Original Mix","Frixion Fanatic","Lunar E.P.","6:39","NLCK41400571","https://open.spotify.com/track/19zM6ANMO95Wzo4FNJ70kl"
"6","The Music or the Misery","Sifres","Goverment Control","7:48","GBKPL1357045","https://open.spotify.com/track/1w9OTdKWlpj80tgKuQeT8N"
"7","Spirit Trap","Sifres","The Acid House","5:55","GBKPL1357042","https://open.spotify.com/track/16NlQHND9sCrbwP74met6v"
"8","You and Me in Exosphere","Les Enfants Sages","Déterminé & obstiné","6:13","FR0U91204811","https://open.spotify.com/track/3vGlTXI8HJKuVryF7yXRxW"
"9","Delaycious","Les Enfants Sages","Neurotrope 013","7:15","FR0U91600978","https://open.spotify.com/track/6vEJVZJj8b3EOnT14xNXm4"
"10","Stalag 57 - Original Mix","Shmirlap","BF303","6:32","USLZJ1544322","https://open.spotify.com/track/1aeLWGakqgy7FYj3vmYORf"
"11","Z.A.T. Is the Question","Les Enfants Sages","Neurotrope 013","8:14","FR0U91600977","https://open.spotify.com/track/4rMtE0iobBqdRoKmvvxP1n"
"12","AA04 Part One","Diex","AA04","7:57","GBKPL0604249","https://open.spotify.com/track/3xhayy0TqHZ63YHBSxaZRW"
"13","Atkmparty - Original Mix","Alarach","Atkm001","5:36","RUA491482828","https://open.spotify.com/track/0FKm5eKiqqQmrPkePgNWWC"
"14","MDMA","Pitch Mad Attak","Astroprojekt, Vol. 36","6:29","FR2W01400092","https://open.spotify.com/track/7bNV6gEQRxFb8UmwnIagwB"
"15","Machinatek","Vortek's","Spiral","6:51","FR9W11811355","https://open.spotify.com/track/5MOH12sTwKmeAiEASKuidg"
"16","Cyanure Dance","I Hate Models","Nigredo Edition","9:36","UKCFM1705001","https://open.spotify.com/track/2vPJlcwS31XkicWRCv5sFC"
"17","Next Room","Alextrem","Old Skull, Vol. 3","6:09","FR2W01200052","https://open.spotify.com/track/5EejFTm5qiLJE8V3S3e5oL"
"18","Tatane","Alextrem","Antracks HS 02","11:42","QZ4JJ1745952","https://open.spotify.com/track/1oYLrY72no9zp6sV2jreq2"
"19","Epic Synth","Pitch Mad Attak","Astroprojekt, Vol. 34","5:25","FR2W01300067","https://open.spotify.com/track/5ESq7kIppVAkokiuH82rcG"
"20","Transformers - Long Version","Nout","Le Diable Au Corps Compilation 06","7:24","DEZ651336647","https://open.spotify.com/track/4GaF1vjBsxg7qbtcAsY1bl"
"21","Dreamer","Strez","Komperes Records, Vol. 5","5:04","FR2W01100227","https://open.spotify.com/track/5CDvKnzCak0ry7ULb47rwi"
"22","23 Diamonds","Billx","Fractal","5:54","FR0U91501285","https://open.spotify.com/track/3gGvynn8BVX5vzE3CG7cdP"
"23","Orient Hall","Alryk","Komperes Records, Vol. 9","5:51","FR2W01400108","https://open.spotify.com/track/3D1hRLF2enttxhWs4NojkM"
"24","Spécial solution","Sustain Release","Maxifloor, vol. 3","5:25","FR6V80654823","https://open.spotify.com/track/5OTMG1Qs9awC6JX8lacmSY"
"25","The Bass Pusher","Suburbass","Pure Mixture Compilation 01","4:32","DEZ650816365","https://open.spotify.com/track/1HdYKPVrzYgdV0PKtzaOI3"
"26","Growler","Alryk","Toxic Vibes HS02","6:35","FR0U91203733","https://open.spotify.com/track/6IE1ggdCj9AohIP8oAHmCG"
"27","Kidnap the Sandy Claws - Korn Remix","Alryk","Machiavelik","6:04","FR26V1416799","https://open.spotify.com/track/6OMS7BbeNujxo3psdNjpOO"
"28","She's Very Bright","Alryk","Nightmare","5:13","FR0U91501465","https://open.spotify.com/track/4X1nyDhiow4pO9Kx0dIiVy"
