"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","belas","eevee","ep seeds","3:02","DEQ121746152","https://open.spotify.com/track/0SqCqfEs8odbI8gIBUIWwe"
"2","Mutilated Lips","Ween","The Mollusk","3:49","USEE19701305","https://open.spotify.com/track/3fsnRK4dEe7NykXL5anAGp"
"3","It Wasn't Me","Shaggy","Hot Shot (International Version #2)","3:48","USMC10000393","https://open.spotify.com/track/2mSc8PnYodyYi3SkdfU4jT"
"4","Om Muni","MC Xander","Hymns","6:24","TCADW1833724","https://open.spotify.com/track/5Gc236SuzG9iaS3fio7t6A"
"5","Believe in Yrslf","Weeding Dub","Inna Digital Age","4:50","FRV661300002","https://open.spotify.com/track/4VXMmqSk84RS1Eufi2btm3"
"6","Moon Juice","Thriftworks","Hydromancy","4:08","TCADD1794694","https://open.spotify.com/track/1yOsdzKFfTWDYE1TakCtVp"
"7","hold up","eevee","beat tape 05","2:06","DEQ121753506","https://open.spotify.com/track/2fs15lQpGniliFmh8vQUjP"
"8","Jailhouse Blues","Smokey Joe & The Kid","Smokid Inc.","3:36","FRPHC1500023","https://open.spotify.com/track/6gFUlhH0KZIdULdajDGcub"
"9","Warrior (RMX) - Part 1","Mr Zebre","Digital Dubplate, Vol. 4 (feat. Dixie Peach)","3:31","CH6541763802","https://open.spotify.com/track/7reFwd7BXTHrpkG43rRF0l"
"10","Trickin' upon Di (Track Remix) [feat. Panda Dub]","Mahom","The Skankin' cat","5:29","FR26V1508755","https://open.spotify.com/track/1swtIh6BIh3CDGEXy0N4bP"
"11","Halleluja","Audio88","Halleluja","3:54","DEQ121639268","https://open.spotify.com/track/0qRIy4iISIcvi6oSSPfdSa"
"12","R.A.S.T.A.F.A.R.I.","Vibronics","R.A.S.T.A.F.A.R.I./ I Am What I Am","3:36","GBLJF0504301","https://open.spotify.com/track/4z2rFgPXCMPLZ5DXc4XuxY"
"13","High Power","Mr Zebre","Shadows","2:56","FR9W11619649","https://open.spotify.com/track/2O2j3flfXURCBqw54yItUv"
"14","Resonance","Tetra Hydro K","Dirty Wawash","4:53","FR6V80763186","https://open.spotify.com/track/67MX8EPxQXqq27FsIqFfEm"
"15","Luna Llena","Brain Damage","Luna Llena","4:24","FR92U1800360","https://open.spotify.com/track/5Q5Bwb82C0EH0ym8l5BzuD"
"16","Resist Not Evil","Protoje","Militancy Riddim","3:22","JMA271300838","https://open.spotify.com/track/6hMRRTaI0ylI9NA1RzgmpU"
"17","A Mi Lado","Taiwan MC","Cool & Deadly","4:02","FRP7S1600030","https://open.spotify.com/track/1FShSStnXzldEdsQqJSq5v"
"18","Control Your Tempa","Jahneration","Jahneration","3:30","FR8Q21603006","https://open.spotify.com/track/6d3gC3daAfixohENn1oTQk"
"19","One Last Dance","Taiwan MC","One Last Dance","4:15","FR26V1409166","https://open.spotify.com/track/4jVrTA99DDHdlo8OMfFEg1"
"20","Sail - Unlimited Gravity Remix","AWOLNATION","RE/Sail","5:50","USP6L1180110","https://open.spotify.com/track/7qAWdfgvuDJQlhjppYtAfA"
"21","Ghostwriter","RJD2","Deadringer: Deluxe","5:18","USA4T0403506","https://open.spotify.com/track/5Nn2Dj7OQsGL6pgQ9iIzPp"
"22","Peaceful Life (feat. Lorine Chia)","Guts","Eternal","4:06","FR4EO1600021","https://open.spotify.com/track/1oqcT3rKnuyGf7gcQU8IXx"
"23","And the Living Is Easy","Guts","Guts (Le Bienheureux)","5:13","FRQ040700041","https://open.spotify.com/track/3NlJO0Tf9FLjUTHepZgxYf"
"24","Outta Your Head","Radioinactive","The Akashic Record","4:02","QMQ9Q1200004","https://open.spotify.com/track/1TpXGnfMnXagDwMSW2DEAb"
"25","Soon","Martin Jondo","Pink Flowers","3:21","DEOL51500024","https://open.spotify.com/track/5t32fn8IAh0DZHyiYIrqR8"
"26","The Global Village","Nickodemus","Endangered Species","4:51","USCCW0510022","https://open.spotify.com/track/1IcQZv5jFCwPfC1QGO30om"
"27","Soul Searching","Dafuniks","Past Present Future...","3:47","FRO5P1400040","https://open.spotify.com/track/4KPs0jUlIszf2osVsfEGbM"
"28","Liar","Chinese Man","Shikantaza","4:26","FRP7S1600310","https://open.spotify.com/track/77dLrHo8fsLoQNTtQ1SvFM"
"29","Do You Do You?","Nickodemus","A Long Engagement","3:26","USCCW1610760","https://open.spotify.com/track/11PzCfD5ncWuz6hpy41VTb"
"30","Chapinero","Thornato","Bennu","3:42","USCCW1610531","https://open.spotify.com/track/0yENDAPqNW1hksxq9KUt8n"
"31","Music Soljah","DJ Vadim","Dubcatcher, Vol. 2 (Wicked My Yout)","5:37","FR2EI1503050","https://open.spotify.com/track/0XbaUBEgUtut4crUxBGpuW"
"32","The Crow","Nickodemus","The Crow","5:55","USCCW1610581","https://open.spotify.com/track/7kOS7qzdJq32AcwnkU572z"
"33","Brest Bay","Stand High Patrol","Midnight Walkers","3:19","DEZ651119802","https://open.spotify.com/track/5UX8v9D9CE0rXSEO4pfQJn"
"34","Pick Me Up (feat. Beat Assailant, Mary May & Wolfgang)","Guts","Stop the Violence","6:15","FR4EO1700029","https://open.spotify.com/track/1Mg9wmtPsI6cFoxlGbHn30"
"35","Cold Blows the Wind","Ween","The Mollusk","4:28","USEE19701309","https://open.spotify.com/track/3TMxeYDa7yOKAxMUaCQWv4"
"36","Somethingness","Busdriver","Temporary Forever","6:08","US25X0801110","https://open.spotify.com/track/6CtSimBd8s3mFx63hNHvwG"
"37","They Don't Love - Mungos Hifi Remix","DJ Vadim","Dubcatcher, Vol. 2 (Wicked My Yout) [Remixes]","4:54","FR2EI1600920","https://open.spotify.com/track/36MbBK0KXBCeYHdhOWUP93"
"38","Music Man","Nickodemus","A Long Engagement","5:28","USCCW1610763","https://open.spotify.com/track/2CuJyMOCqUT6ljUIrMr6KD"
"39","Gnade","Audio88","Halleluja","6:02","DEQ121639272","https://open.spotify.com/track/1RJLgQ10IJek0mM8X27pNi"
