ROLICADE4;YCB084;8706;8591;3364
ROLICADE4;YCB110;12;312;3364
FALCON;YCB276;2535;2531;9247
ROLICADE4;YCC132;1119;9687;1491
KORDEXIN;YCT315;1154;6409;714
KORDEXIN;YCK410;9445;3942;2087
KORDEXIN1;YCK411;0;3942;7044
MUREXIN;YCB483;4609;5857;685
KORDEXIN4;YCK448;5483;7502;1795
KORDEXIN;YCC020;8237;3439;4497
GOSTIV;YBC464;7794;3439;0
FONEE;YBC263;5808;6111;3177
FONTEE;YCF315;1928;9100;2790
ENTILFACUM;YCK468;3621;4074;5534
CONYICAN;YCC671;640;0;1989
CONYICAN;YCC417;5774;3725;9697
BRANDY;YCC442;5845;8431;0
BRAND;YCC477;0;7825;5207
FRAND;YCC448;3675;7376;8210
BRAND;YCD001;14;3029;4611
BETASTAR ;YCF500;8491;4117;0
BETASTAR;YCC244;6742;9764;9632
AMELLIC;YCN327;0;3144;9968
AMELLIC;YBC533;4735;8978;4752
AMELLIC;YBG028;9239;9377;7631
AKVIL5SC;YCS830;7066;5285;5862
KARDA48C;KCV321;8757;5713;9317
